metric,value,old_lad_code,new_lad_code,lsoa_code,csp_code
assigned_lsoa,22,,,E01000393,E22000188
assigned_lsoa,51,,,E01000394,E22000188
assigned_lsoa,6,,,E01000395,E22000188
assigned_lsoa,7,,,E01000396,E22000188
assigned_lsoa,7,,,E01000398,E22000188
assigned_lsoa,22,,,E01000399,E22000188
assigned_lsoa,8,,,E01000400,E22000188
assigned_lsoa,30,,,E01000401,E22000188
assigned_lsoa,25,,,E01000402,E22000188
assigned_lsoa,138,,,E01000403,E22000188
assigned_lsoa,76,,,E01000404,E22000188
assigned_lsoa,22,,,E01000405,E22000188
assigned_lsoa,39,,,E01000406,E22000188
assigned_lsoa,20,,,E01000407,E22000188
assigned_lsoa,36,,,E01000408,E22000188
assigned_lsoa,2,,,E01000409,E22000188
assigned_lsoa,16,,,E01000410,E22000188
assigned_lsoa,6,,,E01000411,E22000188
assigned_lsoa,19,,,E01000412,E22000188
assigned_lsoa,11,,,E01000413,E22000188
assigned_lsoa,48,,,E01000414,E22000188
assigned_lsoa,13,,,E01000415,E22000188
assigned_lsoa,50,,,E01000416,E22000188
assigned_lsoa,28,,,E01000417,E22000188
assigned_lsoa,22,,,E01000418,E22000188
assigned_lsoa,4,,,E01000419,E22000188
assigned_lsoa,10,,,E01000420,E22000188
assigned_lsoa,5,,,E01000421,E22000188
assigned_lsoa,6,,,E01000423,E22000188
assigned_lsoa,41,,,E01000424,E22000188
assigned_lsoa,4,,,E01000425,E22000188
assigned_lsoa,8,,,E01000426,E22000188
assigned_lsoa,22,,,E01000427,E22000188
assigned_lsoa,39,,,E01000428,E22000188
assigned_lsoa,39,,,E01000429,E22000188
assigned_lsoa,41,,,E01000430,E22000188
assigned_lsoa,32,,,E01000431,E22000188
assigned_lsoa,76,,,E01000433,E22000188
assigned_lsoa,19,,,E01000434,E22000188
assigned_lsoa,21,,,E01000435,E22000188
assigned_lsoa,9,,,E01000436,E22000188
assigned_lsoa,10,,,E01000437,E22000188
assigned_lsoa,41,,,E01000438,E22000188
assigned_lsoa,37,,,E01000439,E22000188
assigned_lsoa,10,,,E01000440,E22000188
assigned_lsoa,23,,,E01000441,E22000188
assigned_lsoa,11,,,E01000442,E22000188
assigned_lsoa,20,,,E01000443,E22000188
assigned_lsoa,6,,,E01000444,E22000188
assigned_lsoa,7,,,E01000445,E22000188
assigned_lsoa,10,,,E01000446,E22000188
assigned_lsoa,47,,,E01000447,E22000188
assigned_lsoa,7,,,E01000448,E22000188
assigned_lsoa,14,,,E01000449,E22000188
assigned_lsoa,22,,,E01000450,E22000188
assigned_lsoa,6,,,E01000451,E22000188
assigned_lsoa,4,,,E01000452,E22000188
assigned_lsoa,15,,,E01000453,E22000188
assigned_lsoa,45,,,E01000454,E22000188
assigned_lsoa,9,,,E01000455,E22000188
assigned_lsoa,4,,,E01000456,E22000188
assigned_lsoa,93,,,E01000457,E22000188
assigned_lsoa,11,,,E01000458,E22000188
assigned_lsoa,39,,,E01000459,E22000188
assigned_lsoa,22,,,E01000460,E22000188
assigned_lsoa,5,,,E01000461,E22000188
assigned_lsoa,43,,,E01000462,E22000188
assigned_lsoa,5,,,E01000463,E22000188
assigned_lsoa,21,,,E01000464,E22000188
assigned_lsoa,32,,,E01000465,E22000188
assigned_lsoa,52,,,E01000466,E22000188
assigned_lsoa,28,,,E01000467,E22000188
assigned_lsoa,33,,,E01000468,E22000188
assigned_lsoa,30,,,E01000469,E22000188
assigned_lsoa,112,,,E01000470,E22000188
assigned_lsoa,7,,,E01000471,E22000189
assigned_lsoa,51,,,E01000472,E22000189
assigned_lsoa,60,,,E01000473,E22000189
assigned_lsoa,13,,,E01000474,E22000189
assigned_lsoa,76,,,E01000475,E22000189
assigned_lsoa,32,,,E01000476,E22000189
assigned_lsoa,99,,,E01000477,E22000189
assigned_lsoa,23,,,E01000478,E22000189
assigned_lsoa,16,,,E01000479,E22000189
assigned_lsoa,25,,,E01000480,E22000189
assigned_lsoa,27,,,E01000481,E22000189
assigned_lsoa,113,,,E01000483,E22000189
assigned_lsoa,20,,,E01000484,E22000189
assigned_lsoa,11,,,E01000485,E22000189
assigned_lsoa,9,,,E01000486,E22000189
assigned_lsoa,65,,,E01000487,E22000189
assigned_lsoa,9,,,E01000488,E22000189
assigned_lsoa,35,,,E01000489,E22000189
assigned_lsoa,119,,,E01000490,E22000189
assigned_lsoa,50,,,E01000491,E22000189
assigned_lsoa,15,,,E01000492,E22000189
assigned_lsoa,14,,,E01000493,E22000189
assigned_lsoa,85,,,E01000494,E22000189
assigned_lsoa,63,,,E01000495,E22000189
assigned_lsoa,72,,,E01000497,E22000189
assigned_lsoa,12,,,E01000498,E22000189
assigned_lsoa,48,,,E01000499,E22000189
assigned_lsoa,68,,,E01000501,E22000189
assigned_lsoa,56,,,E01000502,E22000189
assigned_lsoa,54,,,E01000503,E22000189
assigned_lsoa,126,,,E01000504,E22000189
assigned_lsoa,21,,,E01000505,E22000189
assigned_lsoa,63,,,E01000506,E22000189
