Location,Country,Local authority,Latitude,Longitude,Violence/sexual indicator,ASB indicator,Crime geography,Safety score,Safety confidence,Buy all-flat achieved median,Buy transactions,Buy confidence,Buy affordability score,Rent one-bed modelled average pcm,Rent confidence,Rent affordability score,One-bed buy count,One-bed rent count,Tower signal,Buy market score,Rent market score,Buy stock score,Rent stock score,Local transport score,Local transport confidence,London minutes,London changes,Birmingham minutes,Birmingham changes,National transport score,National confidence,Quiet score,Quiet confidence,Condition score,Condition confidence,Buy screen /100,Rent screen /100,Buy priority /75,Rent priority /75,Serious priority weaknesses,Buy confidence /3,Rent confidence /3,Buy unknowns,Rent unknowns,Buy rank,Rent rank,Shortlist,Qualified via
Preston,England,Preston,53.760554,-2.698528,3087,2352,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,2,Medium,104625,470,High,5,578,Medium,5,72,136,Unclear,3,4,2.5,3.5,4,Medium,130,0,100,0,4,Medium,2,Medium,3,Low,63.5,66.5,48,48,0,2,1.8571428571428572,0,0,28,16,Not proposed,
Rotherham,England,Rotherham,53.43072,-1.354738,1825,846,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,111625,260,High,3,486,Medium,5,19,25,Unclear,2,3,1.5,2.5,4,High,145,1,100,1,4,Medium,2,Medium,2,Low,57.5,66.5,45,51,0,2.142857142857143,2,0,0,52,13,Not proposed,
Salford,England,Salford,53.480643,-2.294998,,,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,,Low,190000,1850,High,1,886,Medium,1,513,531,Unclear,5,5,4.5,4.5,5,High,135,0,95,0,4,Low,2,Medium,3,Low,64.11764705882354,64.11764705882354,41.25,41.25,0,1.8571428571428572,1.7142857142857142,1,1,26,31,Not proposed,
Sheffield,England,Sheffield,53.382508,-1.468536,4093,2297,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,1,Medium,140000,1707,High,1,689,Medium,3,257,401,Unclear,5,5,4.5,4.5,5,High,120,0,75,0,4,Medium,3,Medium,4,Medium,63.5,69.5,42,48,1,2.2857142857142856,2.142857142857143,0,0,32,8,Proposed,Rent
Shrewsbury,England,Shropshire,52.708167,-2.754329,1093,356,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,5,Medium,157500,309,High,1,605,Medium,3,33,33,Unclear,3,3,2.5,2.5,3,Medium,150,1,60,0,4,Medium,4,Medium,5,Medium,69.5,75.5,54,60,0,2.142857142857143,2,0,0,7,1,Proposed,Both
St Helens,England,St. Helens,53.455338,-2.738189,2022,523,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,94000,146,High,5,590,Medium,3,9,24,Unclear,1,2,1,1.5,3,High,145,1,90,1,4,Medium,2,Medium,2,Low,59,54.5,48,42,0,2.142857142857143,2,0,0,48,60,Not proposed,
Stafford,England,Stafford,52.8058,-2.116656,1575,693,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,5,Medium,125000,203,High,3,629,Medium,3,20,20,Unclear,2,2,1.5,1.5,3,Medium,75,0,35,0,5,Medium,4,Medium,4,Medium,71.5,71.5,57,57,0,2.142857142857143,2,0,0,3,4,Proposed,Both
Stockport,England,Stockport,53.408023,-2.158961,,,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,,Low,165000,830,High,1,807,Medium,1,41,89,Unclear,3,4,2.5,3.5,4,High,120,0,75,0,4,Medium,2,Medium,4,Medium,57.05882352941177,60.588235294117645,41.25,41.25,0,2.142857142857143,2,1,1,54,45,Not proposed,
Stockton-on-Tees,England,Stockton-on-Tees,54.563971,-1.312668,2853,1260,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,3,Medium,78000,188,High,5,537,Medium,5,14,36,Unclear,2,3,1.5,2.5,3,Medium,185,1,180,1,3,Low,2,Medium,3,Low,58.5,61.5,48,48,0,1.8571428571428572,1.7142857142857142,0,0,50,42,Not proposed,
Stoke-on-Trent,England,Stoke-on-Trent,53.022184,-2.173369,2370,1510,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,3,Medium,85000,346,High,5,515,Medium,5,26,53,Unclear,3,3,2.5,2.5,4,Medium,85,0,50,0,5,Medium,2,Medium,2,Low,65.5,65.5,48,48,0,2,1.8571428571428572,0,0,19,24,Not proposed,
Sunderland,England,Sunderland,54.902165,-1.383803,2043,1312,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,3,Medium,79000,363,High,5,521,Medium,5,49,56,Unclear,3,3,2.5,2.5,4,High,195,0,205,1,2,Low,2,Medium,3,Low,62.5,62.5,51,51,0,2,1.8571428571428572,0,0,33,37,Not proposed,
Swansea,Wales,Swansea,51.62011,-3.941418,2514,880,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,3,Medium,130000,455,High,3,684,Medium,3,25,16,Unclear,3,2,2.5,1.5,4,High,170,0,185,1,3,Medium,3,Medium,4,Medium,64.5,61.5,51,51,0,2.2857142857142856,2.142857142857143,0,0,23,41,Not proposed,
