location_id,topic,url
darlington,crime,https://api.postcodes.io/postcodes?lon=-1.553611&lat=54.523274&limit=1&radius=2000
darlington,crime,https://data.police.uk/api/crimes-street/all-crime?lat=54.523274&lng=-1.553611&date=2026-07
darlington,crime,https://data.police.uk/docs/method/crime-street/
darlington,buy,https://www.gov.uk/government/statistical-data-sets/price-paid-data-downloads
darlington,rent,https://www.ons.gov.uk/economy/inflationandpriceindices/datasets/priceindexofprivaterentsukmonthlypricestatistics
darlington,rent,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/privaterentandhousepricesuk/august2026
darlington,market,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E406&minBedrooms=1&maxBedrooms=1&propertyTypes=flat&includeSSTC=false&mustHave=&dontShow=retirement%2CsharedOwnership&furnishTypes=&keywords=
darlington,market,https://www.rightmove.co.uk/property-to-rent/find.html?locationIdentifier=REGION%5E406&minBedrooms=1&maxBedrooms=1&propertyTypes=flat&includeSSTC=true&mustHave=&dontShow=houseShare%2Cretirement&furnishTypes=&keywords=
darlington,market,https://los.rightmove.co.uk/typeahead?query=Darlington
darlington,transport,https://www.nationalrail.co.uk/journey-planner/
darlington,transport,https://www.traveline.info/
darlington,environment,https://uk-air.defra.gov.uk/data/pcm-data
darlington,environment,https://api.os.uk/downloads/v1/products/OpenGreenspace
darlington,environment,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2025
derby,crime,https://api.postcodes.io/places?q=Derby
derby,crime,https://api.postcodes.io/postcodes?lon=-1.478054&lat=52.924693&limit=1&radius=2000
derby,crime,https://data.police.uk/api/crimes-street/all-crime?lat=52.924693&lng=-1.478054&date=2026-07
derby,crime,https://data.police.uk/docs/method/crime-street/
derby,buy,https://www.gov.uk/government/statistical-data-sets/price-paid-data-downloads
derby,rent,https://www.ons.gov.uk/economy/inflationandpriceindices/datasets/priceindexofprivaterentsukmonthlypricestatistics
derby,rent,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/privaterentandhousepricesuk/august2026
derby,market,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E418&minBedrooms=1&maxBedrooms=1&propertyTypes=flat&includeSSTC=false&mustHave=&dontShow=retirement%2CsharedOwnership&furnishTypes=&keywords=
derby,market,https://www.rightmove.co.uk/property-to-rent/find.html?locationIdentifier=REGION%5E418&minBedrooms=1&maxBedrooms=1&propertyTypes=flat&includeSSTC=true&mustHave=&dontShow=houseShare%2Cretirement&furnishTypes=&keywords=
derby,market,https://los.rightmove.co.uk/typeahead?query=Derby
derby,transport,https://www.nationalrail.co.uk/journey-planner/
derby,transport,https://www.traveline.info/
derby,environment,https://uk-air.defra.gov.uk/data/pcm-data
derby,environment,https://api.os.uk/downloads/v1/products/OpenGreenspace
derby,environment,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2025
doncaster,crime,https://api.postcodes.io/places?q=Doncaster
doncaster,crime,https://api.postcodes.io/postcodes?lon=-1.132352&lat=53.522723&limit=1&radius=2000
doncaster,crime,https://data.police.uk/api/crimes-street/all-crime?lat=53.522723&lng=-1.132352&date=2026-07
doncaster,crime,https://data.police.uk/docs/method/crime-street/
doncaster,buy,https://www.gov.uk/government/statistical-data-sets/price-paid-data-downloads
doncaster,rent,https://www.ons.gov.uk/economy/inflationandpriceindices/datasets/priceindexofprivaterentsukmonthlypricestatistics
doncaster,rent,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/privaterentandhousepricesuk/august2026
doncaster,market,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E430&minBedrooms=1&maxBedrooms=1&propertyTypes=flat&includeSSTC=false&mustHave=&dontShow=retirement%2CsharedOwnership&furnishTypes=&keywords=
